,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
218,110,1979,Escrava  Isaura,330,GLOBO ,NOVELAS DAS 18H,escravaisaura1979
219,111,1986,Locomotivas,276,GLOBO ,NOVELAS DAS 18H,locomotivas1986
220,112,2020,Novo Mundo,192,GLOBO ,NOVELAS DAS 18H,novomundo2020
221,113,2020,Flor do  Caribe,202,GLOBO ,NOVELAS DAS 18H,flordocaribe2020
222,114,2021,A Vida da  Gente,195,GLOBO ,NOVELAS DAS 18H,avidadagente2021
224,1,1965,Rosinha do Sobrado,33,GLOBO ,NOVELAS DAS 19H,rosinhadosobrado1965
225,2,1965,A Moreninha,30,GLOBO ,NOVELAS DAS 19H,amoreninha1965
226,3,1965,Padre Tião,35,GLOBO ,NOVELAS DAS 19H,padretiao1965
227,4,1968,O Santo  Mestiço,70,GLOBO ,NOVELAS DAS 19H,osantomestico1968
228,5,1968,A Grande  Mentira,140,GLOBO ,NOVELAS DAS 19H,agrandementira1968
229,6,1969,A Cabana do  Pai Tomás,134,GLOBO ,NOVELAS DAS 19H,acabanadopaitomas1969
230,7,,,,GLOBO ,NOVELAS DAS 19H,
232,9,1970,Pigmalião  70,263,GLOBO ,NOVELAS DAS 19H,pigmaliao701970
233,10,1970,A Próxima  Atração,319,GLOBO ,NOVELAS DAS 19H,aproximaatracao1970
234,11,1971,Minha Doce Namorada,437,GLOBO ,NOVELAS DAS 19H,minhadocenamorada1971
235,12,1972,O Primeiro  Amor,450,GLOBO ,NOVELAS DAS 19H,oprimeiroamor1972
236,13,1972,Uma Rosa  com Amor,445,GLOBO ,NOVELAS DAS 19H,umarosacomamor1972
237,14,1973,Carinhoso,479,GLOBO ,NOVELAS DAS 19H,carinhoso1973
238,15,1974,Supermanoela,446,GLOBO ,NOVELAS DAS 19H,supermanoela1974
239,16,1974,Corrida do  Ouro,439,GLOBO ,NOVELAS DAS 19H,corridadoouro1974
240,17,1975,Cuca Legal,440,GLOBO ,NOVELAS DAS 19H,cucalegal1975
241,18,1975,Bravo!,455,GLOBO ,NOVELAS DAS 19H,bravo1975
242,19,1976,Anjo Mau,552,GLOBO ,NOVELAS DAS 19H,anjomau1976
243,20,1976,Estúpido  Cupido,534,GLOBO ,NOVELAS DAS 19H,estupidocupido1976
244,21,1977,Locomotivas,587,GLOBO ,NOVELAS DAS 19H,locomotivas1977
245,22,1977,"Sem Lenço,  Sem Documento",490,GLOBO ,NOVELAS DAS 19H,semlencosemdocumento1977
246,23,1978,Te Contei?,525,GLOBO ,NOVELAS DAS 19H,tecontei?1978
247,24,1978,Pecado  Rasgado,504,GLOBO ,NOVELAS DAS 19H,pecadorasgado1978
248,25,1979,Feijão  Maravilha,478,GLOBO ,NOVELAS DAS 19H,feijaomaravilha1979
249,26,1979,Marron  Glacê,515,GLOBO ,NOVELAS DAS 19H,marronglace1979
250,27,,,,GLOBO ,NOVELAS DAS 19H,
252,29,1980,Chega Mais,490,GLOBO ,NOVELAS DAS 19H,chegamais1980
253,30,1980,Plumas e  Paetês,466,GLOBO ,NOVELAS DAS 19H,plumasepaetes1980
254,31,1981,O Amor é  Nosso!,393,GLOBO ,NOVELAS DAS 19H,oamorenosso1981
255,32,1981,Jogo da  Vida,397,GLOBO ,NOVELAS DAS 19H,jogodavida1981
256,33,1982,Elas por  Elas,399,GLOBO ,NOVELAS DAS 19H,elasporelas1982
257,34,1982,Final Feliz,469,GLOBO ,NOVELAS DAS 19H,finalfeliz1982
258,35,1983,Guerra dos  Sexos,509,GLOBO ,NOVELAS DAS 19H,guerradossexos1983
259,36,1984,Transas e  Caretas,461,GLOBO ,NOVELAS DAS 19H,transasecaretas1984
260,37,1984,Vereda  Tropical,505,GLOBO ,NOVELAS DAS 19H,veredatropical1984
261,38,1985,Um Sonho a  Mais,513,GLOBO ,NOVELAS DAS 19H,umsonhoamais1985
262,39,1985,Ti Ti Ti,518,GLOBO ,NOVELAS DAS 19H,tititi1985
263,40,1986,Cambalacho,565,GLOBO ,NOVELAS DAS 19H,cambalacho1986
264,41,1986,Hipertensão,527,GLOBO ,NOVELAS DAS 19H,hipertensao1986
265,42,1987,Brega e  Chique,575,GLOBO ,NOVELAS DAS 19H,bregaechique1987
266,43,1987,Sassaricando,530,GLOBO ,NOVELAS DAS 19H,sassaricando1987
267,44,1988,Bebê a  Bordo,503,GLOBO ,NOVELAS DAS 19H,bebeabordo1988
268,45,1989,Que Rei Sou  Eu?,524,GLOBO ,NOVELAS DAS 19H,quereisoueu?1989
269,46,1989,Top Model,534,GLOBO ,NOVELAS DAS 19H,topmodel1989
270,47,,,,GLOBO ,NOVELAS DAS 19H,
272,49,1990,Mico Preto,520,GLOBO ,NOVELAS DAS 19H,micopreto1990
273,50,1990,Lua Cheia  de Amor,455,GLOBO ,NOVELAS DAS 19H,luacheiadeamor1990
274,51,1991,Vamp,382,GLOBO ,NOVELAS DAS 19H,vamp1991
275,52,1992,Perigosas  Peruas,407,GLOBO ,NOVELAS DAS 19H,perigosasperuas1992
276,53,1992,Deus nos  Acuda,400,GLOBO ,NOVELAS DAS 19H,deusnosacuda1992
277,54,1993,O Mapa da  Mina,439,GLOBO ,NOVELAS DAS 19H,omapadamina1993
278,55,1993,Olho no  Olho,435,GLOBO ,NOVELAS DAS 19H,olhonoolho1993
279,56,1994,A Viagem,520,GLOBO ,NOVELAS DAS 19H,aviagem1994
