,0,1,2,Emissora,Horario
98,2017,Tempo de Amar,227,GLOBO ,NOVELAS DAS 18H
99,2018,Orgulho e  Paixão,215,GLOBO ,NOVELAS DAS 18H
100,2018,Espelho da  Vida,178,GLOBO ,NOVELAS DAS 18H
101,2019,Órfãos da  Terra,218,GLOBO ,NOVELAS DAS 18H
102,2019,Éramos Seis,208,GLOBO ,NOVELAS DAS 18H
103,,,,GLOBO ,NOVELAS DAS 18H
104,Ano,Novela,Média,GLOBO ,NOVELAS DAS 18H
105,2021,Nos Tempos  do Imperador,170,GLOBO ,NOVELAS DAS 18H
106,2022,Além da  Ilusão,191,GLOBO ,NOVELAS DAS 18H
107,2022,Mar do  Sertão,-,GLOBO ,NOVELAS DAS 18H
108,,,,GLOBO ,NOVELAS DAS 18H
109,Ano,Reprise,Média,GLOBO ,NOVELAS DAS 18H
110,1979,Escrava  Isaura,330,GLOBO ,NOVELAS DAS 18H
111,1986,Locomotivas,276,GLOBO ,NOVELAS DAS 18H
112,2020,Novo Mundo,192,GLOBO ,NOVELAS DAS 18H
113,2020,Flor do  Caribe,202,GLOBO ,NOVELAS DAS 18H
114,2021,A Vida da  Gente,195,GLOBO ,NOVELAS DAS 18H
0,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
1,1965,Rosinha do Sobrado,33,GLOBO ,NOVELAS DAS 19H
2,1965,A Moreninha,30,GLOBO ,NOVELAS DAS 19H
3,1965,Padre Tião,35,GLOBO ,NOVELAS DAS 19H
4,1968,O Santo  Mestiço,70,GLOBO ,NOVELAS DAS 19H
5,1968,A Grande  Mentira,140,GLOBO ,NOVELAS DAS 19H
6,1969,A Cabana do  Pai Tomás,134,GLOBO ,NOVELAS DAS 19H
7,,,,GLOBO ,NOVELAS DAS 19H
8,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
9,1970,Pigmalião  70,263,GLOBO ,NOVELAS DAS 19H
10,1970,A Próxima  Atração,319,GLOBO ,NOVELAS DAS 19H
11,1971,Minha Doce Namorada,437,GLOBO ,NOVELAS DAS 19H
12,1972,O Primeiro  Amor,450,GLOBO ,NOVELAS DAS 19H
13,1972,Uma Rosa  com Amor,445,GLOBO ,NOVELAS DAS 19H
14,1973,Carinhoso,479,GLOBO ,NOVELAS DAS 19H
15,1974,Supermanoela,446,GLOBO ,NOVELAS DAS 19H
16,1974,Corrida do  Ouro,439,GLOBO ,NOVELAS DAS 19H
17,1975,Cuca Legal,440,GLOBO ,NOVELAS DAS 19H
18,1975,Bravo!,455,GLOBO ,NOVELAS DAS 19H
19,1976,Anjo Mau,552,GLOBO ,NOVELAS DAS 19H
20,1976,Estúpido  Cupido,534,GLOBO ,NOVELAS DAS 19H
21,1977,Locomotivas,587,GLOBO ,NOVELAS DAS 19H
22,1977,"Sem Lenço,  Sem Documento",490,GLOBO ,NOVELAS DAS 19H
23,1978,Te Contei?,525,GLOBO ,NOVELAS DAS 19H
24,1978,Pecado  Rasgado,504,GLOBO ,NOVELAS DAS 19H
25,1979,Feijão  Maravilha,478,GLOBO ,NOVELAS DAS 19H
26,1979,Marron  Glacê,515,GLOBO ,NOVELAS DAS 19H
27,,,,GLOBO ,NOVELAS DAS 19H
28,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
29,1980,Chega Mais,490,GLOBO ,NOVELAS DAS 19H
30,1980,Plumas e  Paetês,466,GLOBO ,NOVELAS DAS 19H
31,1981,O Amor é  Nosso!,393,GLOBO ,NOVELAS DAS 19H
32,1981,Jogo da  Vida,397,GLOBO ,NOVELAS DAS 19H
33,1982,Elas por  Elas,399,GLOBO ,NOVELAS DAS 19H
34,1982,Final Feliz,469,GLOBO ,NOVELAS DAS 19H
35,1983,Guerra dos  Sexos,509,GLOBO ,NOVELAS DAS 19H
36,1984,Transas e  Caretas,461,GLOBO ,NOVELAS DAS 19H
37,1984,Vereda  Tropical,505,GLOBO ,NOVELAS DAS 19H
38,1985,Um Sonho a  Mais,513,GLOBO ,NOVELAS DAS 19H
39,1985,Ti Ti Ti,518,GLOBO ,NOVELAS DAS 19H
40,1986,Cambalacho,565,GLOBO ,NOVELAS DAS 19H
41,1986,Hipertensão,527,GLOBO ,NOVELAS DAS 19H
42,1987,Brega e  Chique,575,GLOBO ,NOVELAS DAS 19H
43,1987,Sassaricando,530,GLOBO ,NOVELAS DAS 19H
44,1988,Bebê a  Bordo,503,GLOBO ,NOVELAS DAS 19H
45,1989,Que Rei Sou  Eu?,524,GLOBO ,NOVELAS DAS 19H
46,1989,Top Model,534,GLOBO ,NOVELAS DAS 19H
47,,,,GLOBO ,NOVELAS DAS 19H
48,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
49,1990,Mico Preto,520,GLOBO ,NOVELAS DAS 19H
50,1990,Lua Cheia  de Amor,455,GLOBO ,NOVELAS DAS 19H
51,1991,Vamp,382,GLOBO ,NOVELAS DAS 19H
52,1992,Perigosas  Peruas,407,GLOBO ,NOVELAS DAS 19H
53,1992,Deus nos  Acuda,400,GLOBO ,NOVELAS DAS 19H
54,1993,O Mapa da  Mina,439,GLOBO ,NOVELAS DAS 19H
55,1993,Olho no  Olho,435,GLOBO ,NOVELAS DAS 19H
56,1994,A Viagem,520,GLOBO ,NOVELAS DAS 19H
57,1994,Quatro por  Quatro,426,GLOBO ,NOVELAS DAS 19H
58,1995,Cara &  Coroa,401,GLOBO ,NOVELAS DAS 19H
59,1996,Vira Lata,360,GLOBO ,NOVELAS DAS 19H
60,1996,Salsa e  Merengue,348,GLOBO ,NOVELAS DAS 19H
61,1997,Zazá,312,GLOBO ,NOVELAS DAS 19H
62,1998,Corpo  Dourado,365,GLOBO ,NOVELAS DAS 19H
63,1998,Meu Bem  Querer,323,GLOBO ,NOVELAS DAS 19H
64,1999,Andando nas  Nuvens,328,GLOBO ,NOVELAS DAS 19H
65,1999,Vila  Madalena,316,GLOBO ,NOVELAS DAS 19H
66,,,,GLOBO ,NOVELAS DAS 19H
67,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
68,2000,Uga-Uga,378,GLOBO ,NOVELAS DAS 19H
69,2001,Um Anjo  Caiu do Céu,336,GLOBO ,NOVELAS DAS 19H
70,2001,As Filhas  da Mãe,280,GLOBO ,NOVELAS DAS 19H
71,2002,Desejos de  Mulher,329,GLOBO ,NOVELAS DAS 19H
72,2002,O Beijo do  Vampiro,283,GLOBO ,NOVELAS DAS 19H
73,2003,Kubanacan,347,GLOBO ,NOVELAS DAS 19H
74,2004,Da Cor do  Pecado,426,GLOBO ,NOVELAS DAS 19H
75,2004,Começar de  Novo,311,GLOBO ,NOVELAS DAS 19H
76,2005,A Lua Me  Disse,332,GLOBO ,NOVELAS DAS 19H
77,2005,Bang Bang,276,GLOBO ,NOVELAS DAS 19H
78,2006,Cobras  & Lagartos,383,GLOBO ,NOVELAS DAS 19H
79,2006,Pé na Jaca,298,GLOBO ,NOVELAS DAS 19H
80,2007,Sete  Pecados,296,GLOBO ,NOVELAS DAS 19H
81,2008,Beleza Pura,280,GLOBO ,NOVELAS DAS 19H
82,2008,Três Irmãs,244,GLOBO ,NOVELAS DAS 19H
83,2009,Caras &  Bocas,310,GLOBO ,NOVELAS DAS 19H
84,,,,GLOBO ,NOVELAS DAS 19H
85,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
86,2010,Tempos  Modernos,241,GLOBO ,NOVELAS DAS 19H
87,2010,Ti Ti Ti,296,GLOBO ,NOVELAS DAS 19H
88,2011,Morde &  Assopra,300,GLOBO ,NOVELAS DAS 19H
89,2011,Aquele  Beijo,250,GLOBO ,NOVELAS DAS 19H
90,2012,Cheias de  Charme,301,GLOBO ,NOVELAS DAS 19H
91,2012,Guerra dos  Sexos,228,GLOBO ,NOVELAS DAS 19H
92,2013,Sangue Bom,246,GLOBO ,NOVELAS DAS 19H
93,2013,Além do  Horizonte,197,GLOBO ,NOVELAS DAS 19H
94,2014,Geração  Brasil,195,GLOBO ,NOVELAS DAS 19H
95,2014,Alto Astral,221,GLOBO ,NOVELAS DAS 19H
96,2015,I Love  Paraisópolis,235,GLOBO ,NOVELAS DAS 19H
97,2015,Totalmente  Demais,274,GLOBO ,NOVELAS DAS 19H
98,2016,Haja  Coração,275,GLOBO ,NOVELAS DAS 19H
99,2016,Rock Story,259,GLOBO ,NOVELAS DAS 19H
100,2017,Pega Pega,288,GLOBO ,NOVELAS DAS 19H
101,2018,Deus Salve  o Rei,256,GLOBO ,NOVELAS DAS 19H
102,2018,O Tempo Não  Para,241,GLOBO ,NOVELAS DAS 19H
103,2019,Verão 90,261,GLOBO ,NOVELAS DAS 19H
104,2019,Bom Sucesso,289,GLOBO ,NOVELAS DAS 19H
105,,,,GLOBO ,NOVELAS DAS 19H
106,Ano,Novela,Média,GLOBO ,NOVELAS DAS 19H
107,2020,Salve-se  Quem Puder,272,GLOBO ,NOVELAS DAS 19H
108,2021,"Quanto Mais  Vida, Melhor!",205,GLOBO ,NOVELAS DAS 19H
109,2022,Cara e  Coragem,208,GLOBO ,NOVELAS DAS 19H
110,2023,Vai na Fé,-,GLOBO ,NOVELAS DAS 19H
111,,,,GLOBO ,NOVELAS DAS 19H
112,,,,GLOBO ,NOVELAS DAS 19H
113,Ano,Reprise,Média,GLOBO ,NOVELAS DAS 19H
114,2020,Totalmente  Demais,295,GLOBO ,NOVELAS DAS 19H
115,2020,Haja  Coração,252,GLOBO ,NOVELAS DAS 19H
116,2021,Salve-se  Quem Puder,251,GLOBO ,NOVELAS DAS 19H
117,2021,Pega Pega,222,GLOBO ,NOVELAS DAS 19H
0,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
1,1965,O Ébrio,52,GLOBO ,NOVELAS DAS 21H
2,1966,O Rei dos  Ciganos,67,GLOBO ,NOVELAS DAS 21H
3,1967,A Sombra de  Rebecca,80,GLOBO ,NOVELAS DAS 21H
4,1967,Anastácia,55,GLOBO ,NOVELAS DAS 21H
5,1967,Sangue e  Areia,107,GLOBO ,NOVELAS DAS 21H
6,1968,Passo dos  Ventos,116,GLOBO ,NOVELAS DAS 21H
7,1969,Rosa  Rebelde,220,GLOBO ,NOVELAS DAS 21H
8,1969,Véu de  Noiva,316,GLOBO ,NOVELAS DAS 21H
9,,,,GLOBO ,NOVELAS DAS 21H
10,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
11,1970,Irmãos  Coragem,482,GLOBO ,NOVELAS DAS 21H
12,1971,O Homem que  Deve Morrer,440,GLOBO ,NOVELAS DAS 21H
13,1972,Selva de  Pedra,487,GLOBO ,NOVELAS DAS 21H
14,1973,Cavalo de  Aço,505,GLOBO ,NOVELAS DAS 21H
15,1973,O Semideus,476,GLOBO ,NOVELAS DAS 21H
16,1974,Fogo sobre  Terra,522,GLOBO ,NOVELAS DAS 21H
17,1975,Escalada,480,GLOBO ,NOVELAS DAS 21H
18,1975,Pecado  Capital,556,GLOBO ,NOVELAS DAS 21H
19,1976,O Casarão,518,GLOBO ,NOVELAS DAS 21H
20,1976,Duas Vidas,574,GLOBO ,NOVELAS DAS 21H
21,1977,Espelho  Mágico,489,GLOBO ,NOVELAS DAS 21H
22,1977,O Astro,526,GLOBO ,NOVELAS DAS 21H
23,1978,Dancin’  Days,600,GLOBO ,NOVELAS DAS 21H
24,1979,Pai Herói,616,GLOBO ,NOVELAS DAS 21H
